,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Angola_nan,Antigua and Barbuda_nan,Argentina_nan,Armenia_nan,Australia_Australian Capital Territory,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahamas_nan,Bahrain_nan,Bangladesh_nan,Barbados_nan,Belarus_nan,Belgium_nan,Belize_nan,Benin_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Botswana_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Burma_nan,Burundi_nan,Cabo Verde_nan,Cambodia_nan,Cameroon_nan,Canada_nan,Central African Republic_nan,Chad_nan,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Comoros_nan,Congo (Brazzaville)_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Faroe Islands,Denmark_Greenland,Denmark_nan,Diamond Princess_nan,Djibouti_nan,Dominica_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,El Salvador_nan,Equatorial Guinea_nan,Eritrea_nan,Estonia_nan,Eswatini_nan,Ethiopia_nan,Fiji_nan,Finland_nan,France_French Guiana,France_French Polynesia,France_Guadeloupe,France_Martinique,France_Mayotte,France_New Caledonia,France_Reunion,France_Saint Barthelemy,France_Saint Pierre and Miquelon,France_St Martin,France_nan,Gabon_nan,Gambia_nan,Georgia_nan,Germany_nan,Ghana_nan,Greece_nan,Grenada_nan,Guatemala_nan,Guinea-Bissau_nan,Guinea_nan,Guyana_nan,Haiti_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,Kazakhstan_nan,Kenya_nan,"Korea, South_nan",Kosovo_nan,Kuwait_nan,Kyrgyzstan_nan,Laos_nan,Latvia_nan,Lebanon_nan,Lesotho_nan,Liberia_nan,Libya_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,MS Zaandam_nan,Madagascar_nan,Malawi_nan,Malaysia_nan,Maldives_nan,Mali_nan,Malta_nan,Marshall Islands_nan,Mauritania_nan,Mauritius_nan,Mexico_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Montenegro_nan,Morocco_nan,Mozambique_nan,Namibia_nan,Nepal_nan,Netherlands_Aruba,"Netherlands_Bonaire, Sint Eustatius and Saba",Netherlands_Curacao,Netherlands_Sint Maarten,Netherlands_nan,New Zealand_nan,Nicaragua_nan,Niger_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Panama_nan,Papua New Guinea_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Rwanda_nan,Saint Kitts and Nevis_nan,Saint Lucia_nan,Saint Vincent and the Grenadines_nan,San Marino_nan,Sao Tome and Principe_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Seychelles_nan,Sierra Leone_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,Solomon Islands_nan,Somalia_nan,South Africa_nan,South Sudan_nan,Spain_nan,Sri Lanka_nan,Sudan_nan,Suriname_nan,Sweden_nan,Switzerland_nan,Syria_nan,Taiwan*_nan,Tajikistan_nan,Tanzania_nan,Thailand_nan,Timor-Leste_nan,Togo_nan,Trinidad and Tobago_nan,Tunisia_nan,Turkey_nan,Uganda_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Anguilla,United Kingdom_Bermuda,United Kingdom_British Virgin Islands,United Kingdom_Cayman Islands,United Kingdom_Channel Islands,United Kingdom_Falkland Islands (Malvinas),United Kingdom_Gibraltar,United Kingdom_Isle of Man,United Kingdom_Montserrat,United Kingdom_Turks and Caicos Islands,United Kingdom_nan,United States_nan,Uruguay_nan,Uzbekistan_nan,Venezuela_nan,Vietnam_nan,West Bank and Gaza_nan,Western Sahara_nan,Yemen_nan,Zambia_nan,Zimbabwe_nan
28,2020-07-13,21254,2014,14019,803,118,57,44173,19865,105,2988,29,1058,439,215,2395,606,17000,15640,91,29099,98317,90,55492,17196,20,557,76,15294,3179,38,1291251,138,3517,869,261,207,748,133,11928,73381,1208,792,286556,985,694,575,361,162,1634,252,145,165,339,934,1254,1214,63623,1015,237,654,931,153,150,45,75,18,314,785,689,198,587,195,1,73,183,1267,63451,296,589,3620,2304,6810,2514,2268,839,8373,188,13,12130,651,4729,18,22441,30369,24975,5732,842,107,1895,688,2430,18,6800,3210,60,157,98,2480,21,472,6,1,37,72180,3475,34,857,185100,21067,1374,23,4321,773,4862,155,3022,12,3123,3073,1801,571460,36689,222539,46998,23364,19395,195106,628,18058,1008,35911,2946,12282,2267,45356,3538,19,1019,1423,33,439,367,82,1571,4183,0,2494,747,8520,2290,1730,660,0,2501,330,240101,12793,97,204,330,12934,369,28,10294,99,7,24,63,0,1498,1993,992,13671,4326,8138,37257,170656,23919,8,1293,221008,20371,27515,31065,100627,21692,503168,710,15,19,29,656,286,169842,5514,13940,11,1175,42541,1493,1473,0,1343,138241,333,150376,1981,5403,526,0,29600,136,438,5278,183,3090,24,517,124,1082,195671,977,27356,45513,3,137,7,200,512,13,179,312,10,11,0,1031939,903,8030,2671,352,1084,8,675,1412,343
29,2020-07-14,21454,2062,14295,803,118,57,45467,20729,105,2988,29,1058,439,215,2488,606,17073,16150,91,29753,103227,90,55799,17223,21,557,78,15819,3179,38,1323425,138,3663,873,261,207,772,133,11928,73713,1229,798,289220,985,729,576,361,164,1636,252,145,165,340,934,1254,1229,63623,1015,237,654,931,153,150,45,75,18,315,785,690,198,589,195,1,73,183,1267,65809,302,589,3948,2441,6908,2558,2275,839,8441,188,13,12160,651,4743,18,23134,30484,25544,5919,842,107,1897,695,2430,18,6800,3472,60,157,98,2480,21,472,6,1,37,71918,3475,34,870,185100,21067,1374,23,4453,773,4951,156,3022,12,3287,3106,1804,592032,37636,225270,50782,23364,19665,195441,643,18126,1013,38008,3017,12348,2370,46161,3538,19,1022,1452,48,439,370,82,1571,4195,0,2646,795,8524,2302,1748,660,0,2664,330,245830,13033,97,207,330,13442,373,29,10328,99,7,24,63,0,1498,2282,992,13792,4468,8138,37987,172810,24667,8,1308,223261,20459,27756,31550,101160,21803,511958,737,15,19,29,656,286,177560,5580,13991,11,1190,42737,1493,1488,0,1380,146279,333,150376,1988,5579,543,0,29800,138,440,5332,183,3091,24,528,124,1087,196720,984,28021,46025,3,137,7,200,512,13,179,312,10,12,0,1049098,905,8327,2671,352,1084,8,685,1412,343
30,2020-07-15,22456,2091,14792,803,124,57,47298,21348,105,2988,29,1058,439,215,2591,610,17175,16695,91,30320,105523,90,56379,17242,21,557,78,16357,3335,38,1350098,138,3841,882,266,207,850,133,11928,74067,1261,799,292085,985,752,576,361,165,1636,252,145,165,340,934,1254,1241,63623,1015,237,654,931,153,150,45,75,18,315,785,691,198,590,195,1,73,183,1267,68806,302,589,3983,2551,7146,2629,2277,839,8507,188,13,12182,651,4765,18,23459,30641,26135,6120,842,107,1901,724,2430,18,6880,3738,60,157,98,2581,21,472,6,1,37,71774,3664,34,873,186000,21511,1374,23,4624,773,4981,156,3283,12,3379,3126,1809,612768,39050,227561,52621,23364,19989,196016,647,18126,1016,39066,3068,12396,2462,46897,3712,19,1022,1455,48,447,373,83,1582,4247,0,2811,1005,8526,2321,1764,661,0,2830,331,252368,13298,97,209,330,13821,375,31,11025,99,7,24,63,0,1499,2282,993,13999,4565,8138,39038,178737,25417,8,1338,226400,20976,28492,32110,101637,22049,522375,752,15,19,29,656,322,183048,5605,14047,27,1200,42988,1507,1501,0,1425,160693,1175,150376,2001,5601,573,0,29800,140,440,5383,183,3092,24,534,124,1091,197733,1004,29005,46418,3,137,7,200,512,13,180,312,10,12,0,1075882,909,8655,3050,353,1084,8,694,1412,395
31,2020-07-16,22824,2137,15107,803,124,57,49120,21931,105,2988,29,1058,440,215,2669,610,17244,17256,91,30809,106963,90,56915,17253,22,557,78,16979,3534,48,1397531,138,3927,882,270,207,902,133,13728,74433,1265,799,295301,985,762,576,361,165,1636,252,145,165,340,934,1254,1254,63623,1015,237,654,931,153,151,45,75,18,315,785,699,198,591,195,1,73,183,1267,71736,311,589,4248,2673,7363,2729,2285,845,8640,188,13,12195,651,4796,18,23636,31260,26691,6257,842,149,1904,736,2430,18,6880,3818,60,157,98,2581,21,472,6,1,37,71910,3664,34,883,186400,22270,1374,23,4807,773,5012,156,3606,12,3420,3156,1810,635757,40345,230608,54316,23364,20370,196246,647,18641,1019,40256,3638,12460,2545,47545,3735,19,1022,1485,48,486,379,83,1593,4275,0,2951,1073,8538,2339,1777,661,0,2993,331,257681,13640,98,211,330,13965,375,31,11249,100,7,24,63,0,1506,2282,993,14292,4565,8138,40090,178737,25842,8,1379,230994,21440,28928,32476,102168,22189,530801,770,15,19,29,656,325,187622,5735,14417,27,1213,43256,1514,1522,0,1444,165591,1175,150376,2007,5601,581,0,29900,140,440,5431,183,3095,24,543,124,1093,198820,1014,29822,47412,3,137,7,200,529,13,180,312,10,12,0,1090645,916,8783,3255,356,1313,8,695,1412,425
32,2020-07-17,23151,2214,15430,803,199,57,49780,22492,105,2988,29,1059,440,215,2709,617,17335,17805,91,31188,108725,91,57370,17289,22,782,78,17882,3612,48,1428520,138,4033,887,271,207,902,133,13728,98281,1288,800,296814,985,775,576,361,165,1636,252,145,165,340,934,1254,1264,63623,1015,237,654,931,153,152,45,75,18,315,785,699,198,592,195,1,73,184,1267,80637,311,626,4248,2818,7607,2825,2300,845,8725,188,13,12209,651,4809,18,24423,31404,27302,6422,842,155,1910,769,2430,18,6880,3932,60,172,98,2591,21,472,6,1,39,71979,3865,34,885,186900,22915,1374,23,4989,773,5233,156,3738,12,3565,3220,1815,653751,41834,232873,56495,23364,20744,196483,678,18944,1021,40256,3983,12519,2640,48381,3821,19,1022,1485,69,496,380,83,1595,4333,0,3108,1107,8541,2340,1791,662,0,3153,331,264202,13913,98,211,357,14360,397,32,11534,100,7,24,63,0,1506,2282,1013,14633,4676,8138,41450,198509,26520,8,1481,233982,21748,29505,32790,102597,22312,538467,811,15,19,29,656,325,191161,5809,14799,27,1219,43577,1523,1522,0,1444,178183,1175,150376,2012,5601,600,0,29900,144,440,5483,183,3096,24,546,124,1095,199834,1023,30675,48448,3,137,7,200,529,13,180,312,10,12,0,1107204,917,9003,3852,356,1492,8,695,1450,438
33,2020-07-18,23273,2264,15744,803,210,57,52607,23123,105,2988,29,1060,440,215,2819,618,17501,18450,91,31765,110098,91,57856,17289,22,782,78,18200,3648,48,1447408,138,4081,887,273,207,913,133,13728,98436,1348,800,299449,985,788,576,361,165,1636,252,145,165,341,934,1254,1274,63623,1015,237,654,931,153,153,46,75,18,315,785,701,198,592,195,1,73,184,1267,85836,311,626,4313,2902,8000,2929,2304,845,8733,188,13,12209,651,4809,18,24607,31757,27868,6560,842,155,1912,788,2430,18,6880,4272,60,172,98,2591,21,472,6,1,39,71639,3865,49,895,187200,23044,1374,23,23365,803,5257,163,3877,12,3661,3222,1814,677423,43268,235300,58492,23364,21348,196806,679,19211,1022,40256,4440,12556,2811,49020,10704,19,1022,1485,69,519,385,83,1600,4333,0,3339,1111,8546,2354,1809,662,0,3279,331,271239,14183,98,213,378,14620,408,32,11637,100,7,24,63,0,1506,2282,1014,14938,4727,8138,42772,204276,27494,8,1643,238086,22067,29924,33153,103023,22488,545909,819,15,19,29,656,337,194218,5859,15179,27,1237,43833,1523,1568,0,1452,182230,1175,150376,2023,5637,610,0,29900,144,440,5529,183,3096,24,548,124,1095,201013,1023,31479,48917,3,137,7,200,529,13,180,312,10,22,0,1122720,921,9127,3972,357,1596,8,701,1462,439
34,2020-07-19,23634,2311,16051,803,221,57,54105,23294,107,2988,29,1061,440,215,2933,622,17599,18967,91,32372,111642,91,58204,17289,22,782,82,18553,3669,48,1459072,138,4106,901,276,207,973,136,13728,98564,1348,801,301794,985,804,576,361,165,1637,252,145,165,341,934,1254,1294,63623,1015,237,654,931,153,154,46,75,18,316,785,707,198,592,195,1,73,184,1267,91793,313,626,4335,2966,8366,3018,2308,845,8761,188,13,12209,651,4838,18,25094,31901,28380,6705,842,155,1912,822,2430,18,6880,4272,60,172,98,2591,21,472,6,1,39,71639,3865,49,899,187400,23249,1374,23,23365,803,5511,163,3877,12,3801,3223,1815,700087,45401,237788,60528,23364,21675,196949,693,19211,1024,43029,5122,12572,2968,49687,13109,19,1022,1515,69,534,418,83,1600,4333,0,3498,1135,8553,2362,1828,662,0,3436,331,254941,14376,98,213,385,14921,472,35,11695,100,7,24,63,0,1506,2282,1014,15105,4810,8138,44004,205929,28482,8,1918,241955,22465,30292,33369,103377,22617,549387,834,15,19,29,656,451,197735,5948,15564,27,1237,44086,1530,1568,0,1457,191059,1175,150376,2035,5707,627,0,30300,144,440,5578,183,3096,24,551,124,1097,202010,1023,31836,49269,3,137,7,200,529,13,180,312,10,22,0,1131121,922,9279,3972,357,1921,8,712,1462,472
35,2020-07-20,23741,2352,16400,803,221,57,55913,23502,107,2988,29,1061,440,215,2933,625,17659,19490,91,32965,113556,91,58290,17321,22,782,83,18875,3755,48,1514300,138,4205,901,278,207,1063,136,13728,98975,1400,801,303992,985,816,576,361,165,1637,252,145,165,341,934,1254,1302,63623,1015,237,654,931,153,156,46,75,18,316,785,708,198,593,195,1,73,185,1267,95804,313,666,4335,3019,8659,3101,2308,847,8836,188,13,12251,651,4868,18,25561,31955,28924,6831,842,155,1912,850,2430,18,6880,4714,60,172,98,2591,21,472,6,1,39,71494,4034,57,900,188070,24901,1374,23,25539,803,5591,163,3877,12,3905,3232,1820,724578,46977,240087,62836,23364,22154,197162,706,19603,1028,43401,5616,12643,3069,50339,13109,19,1022,1562,69,547,441,83,1601,4464,0,3788,1153,8555,2369,1851,664,0,3632,332,263091,14467,100,213,385,15132,505,42,11868,100,7,24,63,0,1506,2282,1014,15333,4871,8138,45150,208030,29164,8,2171,245081,23072,30539,33547,103782,22747,552644,838,15,19,29,656,536,203259,6002,0,27,1261,44371,1538,1603,0,1462,194865,1175,150376,2041,5707,656,0,30300,154,440,5629,183,3096,24,554,124,1099,203002,1071,32397,49621,3,137,7,200,529,13,180,312,10,22,0,1160087,927,9387,6844,360,1921,8,714,1620,472
36,2020-07-21,23741,2397,16646,803,221,57,58598,24206,107,2988,30,1062,440,215,3078,625,17716,19939,91,33455,115397,91,58592,17330,22,782,83,19290,4003,48,1555339,138,4521,901,280,207,1100,140,13728,99248,1411,803,306816,985,833,576,361,165,1637,252,145,165,342,934,1254,1324,63623,1015,237,654,931,153,157,46,75,18,316,785,709,198,593,195,1,73,185,1267,98840,319,666,4528,3194,8857,3183,2321,847,8918,188,13,12261,651,4884,18,25976,32725,29473,6965,842,155,1912,855,5448,18,6880,4996,60,172,98,2614,21,472,6,1,39,71382,4034,57,903,188221,25331,1374,23,26685,803,5771,163,4095,12,4144,3257,1821,753050,48466,242351,64950,23364,22743,197431,709,20001,1034,46790,6258,12698,3226,50919,14776,19,1045,1577,69,575,479,83,1601,4479,0,4286,1180,8562,2397,1856,664,0,3826,332,267407,14599,100,213,426,15389,506,57,12477,100,7,24,63,0,1506,2492,1018,15677,4940,8138,46608,210468,30075,8,2307,248746,23281,30771,33769,104191,24454,561397,848,15,19,29,656,588,207259,6044,0,27,1273,44584,1538,1625,0,1464,208144,1175,150376,2048,5707,705,0,30300,160,440,5683,183,3105,24,560,124,1103,204011,958,33186,49964,3,137,7,201,529,13,180,312,10,22,0,1182018,929,9521,6983,365,1932,8,741,1620,488
37,2020-07-22,23924,2463,16983,803,221,58,60531,24766,109,2988,30,1063,441,215,3298,626,17849,20443,91,33894,117202,94,59061,17347,23,782,83,19721,4159,48,1591975,138,4643,917,280,207,1132,142,13728,99501,1437,805,309241,985,841,576,361,165,1637,253,145,165,342,934,1254,1344,63623,1015,241,654,931,153,158,46,75,18,317,785,711,200,594,195,1,73,185,1267,101613,319,666,4790,3322,8995,3278,2326,847,9144,188,13,12274,651,4904,18,26466,33125,30075,7119,842,155,1912,876,5506,18,6920,5277,60,172,98,2614,21,558,6,1,39,71238,4235,57,907,188628,26090,1374,23,27756,803,5891,165,4095,12,4315,3283,1822,782607,50255,244840,67147,23364,23310,197628,710,20482,1035,46790,6757,12758,3369,51520,15536,19,1045,1607,69,592,489,81,1607,4530,0,4662,1282,8566,2397,1869,665,0,3977,332,270147,14856,100,214,426,15636,523,64,12684,100,7,24,63,0,1511,2492,1018,15815,5071,8138,47922,213175,31122,8,2391,252246,23623,31139,33999,104641,24663,571049,867,15,19,37,656,601,210398,6108,0,27,1288,44795,1556,1648,0,1495,229175,1175,150376,2064,5835,739,0,30500,165,440,5741,183,3105,24,578,127,1108,205214,958,34176,50354,3,139,7,201,529,13,180,312,10,22,0,1210849,934,9872,7471,365,1950,8,751,1677,510
38,2020-07-23,24550,2523,17369,803,236,58,62815,25244,109,2988,30,1063,441,215,3298,631,17943,20974,91,34412,119208,94,59439,17369,25,918,83,20030,4367,48,1620313,138,5031,919,280,270,1150,142,13728,99937,1452,805,311431,985,855,576,361,165,1639,253,145,165,342,934,1254,1379,63623,1015,241,654,931,153,158,46,75,18,317,785,712,201,594,195,1,73,185,1267,107951,324,666,5105,3448,9282,3394,2339,847,9328,188,13,12299,651,4927,18,26905,33455,31066,7276,842,189,1912,882,5645,18,6920,5376,60,172,98,2650,22,558,6,1,39,71618,4235,58,911,189140,26090,1374,23,28856,803,5999,176,4236,12,4448,3300,1823,817209,52164,247230,69405,23364,24044,197842,711,20878,1035,49488,7135,12817,3505,52247,18038,19,1045,1619,69,613,501,81,1611,4591,0,5160,1282,8574,2428,1889,665,0,4086,332,275454,15174,100,217,538,15872,528,69,12840,101,7,24,63,0,1513,2492,1022,16061,5071,8674,51349,219783,31828,11,2487,255945,24383,31541,34369,105018,24862,579295,889,15,22,37,656,604,213490,6170,0,27,1292,45015,1556,1661,0,1499,236260,1175,150376,2077,5835,774,0,30500,174,440,5793,183,3107,24,584,128,1118,206365,971,35035,50848,3,139,7,202,533,13,180,312,10,26,0,1233269,940,10149,7752,365,2720,8,762,1677,510
39,2020-07-24,24602,2608,17369,803,241,60,65447,25734,109,2988,30,1063,441,215,3450,642,18042,21547,91,34826,120976,94,59755,17394,26,918,85,20614,4555,52,1693214,138,5252,920,286,270,1216,142,14539,100504,1483,805,313696,985,867,576,361,165,1641,253,145,165,342,934,1254,1407,63623,1015,241,654,931,153,159,46,75,18,317,785,712,201,594,195,1,73,186,1267,113864,324,756,5109,3505,9499,3555,2341,847,9422,188,13,12340,651,4949,18,27625,34544,31970,7415,842,189,1915,929,5785,18,6920,5522,60,176,98,2650,22,558,6,1,39,71811,4463,60,912,189696,27801,1374,23,30150,803,6063,178,4236,12,4607,3312,1823,849432,53945,249212,71268,23364,26797,198192,711,21173,1035,51260,7446,12866,3614,52915,18038,19,1045,1666,69,621,504,81,1616,4647,0,5522,1373,8577,2498,1901,665,0,4206,332,283382,15407,100,218,643,16100,532,72,12947,101,7,24,63,0,1513,2492,1024,16559,5254,8674,53007,236596,32704,11,2596,259423,24502,31997,34687,105420,25349,587728,900,15,22,39,657,610,215731,6291,0,27,1297,45172,1577,1678,0,1499,245771,1175,150376,2094,5855,804,0,30500,184,440,5851,183,3107,24,585,128,1124,207374,975,35932,51235,3,139,7,202,533,13,180,312,10,26,0,1261624,946,10472,8127,365,2720,8,779,1677,514
40,2020-07-25,24793,2637,18076,803,242,60,68022,26243,109,2988,30,1063,441,215,3529,644,18124,22082,91,35205,122090,94,60092,17425,26,918,85,20951,4555,52,1785359,138,5306,920,288,279,1363,143,14539,100765,1506,810,316169,985,878,576,361,165,1642,253,145,165,342,934,1254,1455,63623,1015,244,654,931,153,159,46,75,18,317,785,716,201,594,195,1,73,186,1268,119667,324,756,5305,3640,9880,3778,2345,852,9590,188,13,12340,651,4949,18,27980,34544,32903,7549,842,189,1915,940,5966,18,6920,5767,60,176,98,2650,22,558,6,1,41,71566,4463,60,917,189919,28438,1374,23,31045,803,6098,180,4365,12,4713,3324,1823,885573,55354,251319,73317,23364,26917,198320,711,21464,1036,51823,7574,12890,3753,53607,19203,19,1045,1671,69,631,510,81,1616,4647,0,5579,1373,8594,2498,1907,665,0,4299,332,288819,15608,104,218,664,16282,543,72,13053,102,7,24,63,0,1513,2492,1025,16948,5357,8674,54061,237434,33428,11,2679,259423,25752,32419,35010,105750,25373,596064,907,15,22,39,657,662,217782,6364,0,39,1297,45352,1577,1678,0,1521,263054,1175,150376,2103,5890,853,0,30500,191,440,5906,183,3109,24,587,128,1133,208477,982,36573,51628,3,139,7,202,533,13,180,312,10,28,0,1279414,947,10831,8795,365,3282,8,780,1953,518
41,2020-07-26,25180,2682,18088,803,242,60,70518,26478,109,2989,30,1063,441,215,3680,647,18209,22684,91,35689,123882,94,60425,17438,26,1036,85,21169,4555,52,1812913,138,5355,920,290,279,1447,143,14539,100969,1546,810,318095,985,881,576,361,165,1645,253,145,165,343,934,1254,1495,63623,1015,244,654,931,153,160,46,75,18,318,785,717,201,594,195,1,73,186,1268,125037,328,756,5510,3736,10178,3866,2349,852,11428,188,13,12340,651,4966,18,28603,34896,33831,7648,842,189,1922,986,6216,18,6920,5767,60,176,98,2650,22,558,6,1,41,71566,4463,60,920,190055,29494,1374,23,31612,803,6152,181,4365,12,4922,3329,1823,917568,56655,253213,75217,23364,27025,198446,714,21606,1041,52571,7743,12905,3874,54373,20388,19,1045,1692,128,641,553,81,1616,4647,0,5579,1639,8600,2528,1911,665,0,4430,332,295222,15909,104,218,739,16438,593,75,13128,102,7,24,63,0,1513,2492,1027,17374,5427,8752,55299,237434,34131,11,2794,267850,26110,32753,35217,106024,25643,599172,918,15,22,39,657,696,220323,6409,0,39,1313,45521,1577,1678,0,1521,265077,1175,150376,2106,5890,890,0,30700,200,440,5970,183,3109,24,599,128,1142,209487,982,36885,52182,3,139,7,202,533,13,180,312,10,35,0,1297863,948,11105,9746,365,3752,8,797,2350,518
42,2020-07-27,25198,2745,18837,803,242,65,72575,26665,109,2989,30,1063,441,215,3817,647,18246,23242,91,36110,125683,94,60492,17452,26,1036,86,21478,4930,63,1846641,138,5585,926,292,301,1550,147,14539,101447,1546,810,319954,985,895,576,361,165,1645,253,145,165,343,934,1254,1486,63623,1015,244,654,931,153,160,46,75,18,318,785,718,201,595,195,1,73,186,1268,131161,328,829,5700,3824,10361,3936,2351,852,11428,188,13,12417,651,4977,18,30204,34896,34838,7778,842,191,1923,1025,6386,18,6920,6047,60,176,98,2672,22,592,6,1,41,71497,4682,66,922,190314,29801,1374,23,32455,803,6257,181,4365,12,5039,3329,1823,951166,58173,255144,77144,23364,27133,198593,714,21970,1041,54404,7833,13007,4027,55057,21205,19,1045,1709,128,646,577,81,1620,4825,0,6260,1645,8601,2547,1913,665,0,4653,332,303810,16154,104,222,809,16553,596,101,13754,102,7,24,63,0,1514,2492,1027,18203,5564,8752,57028,241026,35086,11,2905,272547,26446,32856,35375,106328,25794,602249,975,15,22,39,657,734,222936,6477,0,39,1317,45692,1616,1733,0,1543,274925,1175,150376,2121,5939,925,0,30900,210,440,6028,183,3111,24,607,128,1157,210469,986,37202,52510,3,141,7,202,533,13,180,312,10,36,0,1325804,951,11674,9959,365,3752,8,833,2815,542
43,2020-07-28,25358,2789,19233,803,266,65,75083,27357,109,2989,30,1063,441,215,4123,647,18379,23873,91,36531,127414,94,60669,17476,27,1036,86,21971,5220,63,1868749,138,5766,926,293,301,1616,147,14539,101686,1546,810,322332,985,896,577,361,165,1648,253,145,165,343,934,1254,1527,63623,1015,244,654,931,153,160,46,75,18,318,785,720,201,596,195,1,75,186,1268,136690,328,829,5930,3920,10537,4034,2352,852,11428,188,13,12451,651,4992,18,32014,35283,35959,7903,842,191,1924,1025,6526,18,6920,6106,60,176,98,2672,22,592,6,1,41,71667,4682,66,927,190711,30621,1374,23,33494,803,6312,181,4365,12,5103,3331,1823,988029,60539,257019,81062,23364,32182,198756,724,22636,1042,56638,7908,13069,4129,55681,22296,19,1052,1710,128,646,579,81,1623,4855,0,6613,1667,8607,2547,1919,665,0,4683,332,308142,16462,104,225,839,17066,602,104,13875,102,7,24,63,0,1514,2492,1027,18764,5663,8752,58587,242436,36181,11,3039,276452,26617,33043,35626,106603,26128,611109,1005,15,22,39,657,759,225624,6591,0,39,1336,45893,1644,1742,0,1562,287313,1175,150376,2296,6001,965,0,31000,220,440,6065,183,3111,24,612,128,1168,211561,989,37852,52905,3,141,7,202,533,13,180,312,10,37,0,1355363,958,12026,10195,369,3752,8,840,3195,604
44,2020-07-29,25389,2830,19592,804,301,67,77855,27824,109,2989,30,1065,441,215,4123,647,18528,24495,91,36920,130292,95,61442,17491,27,1036,86,22506,5441,63,1922802,138,5971,931,294,304,1694,147,15320,101992,1574,813,324557,985,901,577,362,165,1651,253,145,165,343,934,1254,1591,63623,1015,244,654,931,153,160,46,75,18,318,785,720,201,596,195,1,79,186,1268,142777,330,829,6095,4050,10793,4099,2353,852,11429,188,13,12485,651,4999,18,33947,35572,37025,8071,842,191,1926,1070,6685,18,6950,6176,62,176,98,2672,22,592,6,1,41,71597,4943,66,929,191279,31286,1374,23,34488,803,6404,185,4467,12,5281,3339,1823,1019735,62138,259116,83461,23364,32746,199031,724,23351,1049,57815,8021,13132,4267,56467,22296,19,1052,1753,141,664,596,85,1643,4959,0,7117,1728,8612,2554,1927,665,0,4776,332,314538,16785,105,225,931,17125,616,104,14021,102,7,24,63,0,1514,2492,1027,19004,5931,8752,60240,244883,37316,11,3169,280044,26996,33190,35875,106849,26446,619204,1036,15,22,39,657,766,228569,6655,0,39,1355,46098,1660,1761,0,1562,297967,1175,150376,2317,6001,1003,0,31100,229,440,6103,183,3111,24,612,128,1178,212557,1028,38523,53202,3,141,7,202,533,13,180,312,10,37,0,1389425,967,12937,10421,369,4833,8,849,3285,887
