,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Angola_nan,Antigua and Barbuda_nan,Argentina_nan,Armenia_nan,Australia_Australian Capital Territory,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahamas_nan,Bahrain_nan,Bangladesh_nan,Barbados_nan,Belarus_nan,Belgium_nan,Belize_nan,Benin_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Botswana_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Burma_nan,Burundi_nan,Cabo Verde_nan,Cambodia_nan,Cameroon_nan,Canada_nan,Central African Republic_nan,Chad_nan,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Unknown,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Comoros_nan,Congo (Brazzaville)_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Faroe Islands,Denmark_Greenland,Denmark_nan,Diamond Princess_nan,Djibouti_nan,Dominica_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,El Salvador_nan,Equatorial Guinea_nan,Eritrea_nan,Estonia_nan,Eswatini_nan,Ethiopia_nan,Fiji_nan,Finland_nan,France_French Guiana,France_French Polynesia,France_Guadeloupe,France_Martinique,France_Mayotte,France_New Caledonia,France_Reunion,France_Saint Barthelemy,France_Saint Pierre and Miquelon,France_St Martin,France_Wallis and Futuna,France_nan,Gabon_nan,Gambia_nan,Georgia_nan,Germany_nan,Ghana_nan,Greece_nan,Grenada_nan,Guatemala_nan,Guinea-Bissau_nan,Guinea_nan,Guyana_nan,Haiti_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,Kazakhstan_nan,Kenya_nan,Kiribati_nan,"Korea, South_nan",Kosovo_nan,Kuwait_nan,Kyrgyzstan_nan,Laos_nan,Latvia_nan,Lebanon_nan,Lesotho_nan,Liberia_nan,Libya_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,MS Zaandam_nan,Madagascar_nan,Malawi_nan,Malaysia_nan,Maldives_nan,Mali_nan,Malta_nan,Marshall Islands_nan,Mauritania_nan,Mauritius_nan,Mexico_nan,Micronesia_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Montenegro_nan,Morocco_nan,Mozambique_nan,Namibia_nan,Nepal_nan,Netherlands_Aruba,"Netherlands_Bonaire, Sint Eustatius and Saba",Netherlands_Curacao,Netherlands_Sint Maarten,Netherlands_nan,New Zealand_Cook Islands,New Zealand_nan,Nicaragua_nan,Niger_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Palau_nan,Panama_nan,Papua New Guinea_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Rwanda_nan,Saint Kitts and Nevis_nan,Saint Lucia_nan,Saint Vincent and the Grenadines_nan,Samoa_nan,San Marino_nan,Sao Tome and Principe_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Seychelles_nan,Sierra Leone_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,Solomon Islands_nan,Somalia_nan,South Africa_nan,South Sudan_nan,Spain_nan,Sri Lanka_nan,Sudan_nan,Summer Olympics 2020_nan,Suriname_nan,Sweden_nan,Switzerland_nan,Syria_nan,Taiwan*_nan,Tajikistan_nan,Tanzania_nan,Thailand_nan,Timor-Leste_nan,Togo_nan,Tonga_nan,Trinidad and Tobago_nan,Tunisia_nan,Turkey_nan,Uganda_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Anguilla,United Kingdom_Bermuda,United Kingdom_British Virgin Islands,United Kingdom_Cayman Islands,United Kingdom_Channel Islands,United Kingdom_Falkland Islands (Malvinas),United Kingdom_Gibraltar,United Kingdom_Isle of Man,United Kingdom_Montserrat,"United Kingdom_Saint Helena, Ascension and Tristan da Cunha",United Kingdom_Turks and Caicos Islands,United Kingdom_nan,United States_nan,Uruguay_nan,Uzbekistan_nan,Vanuatu_nan,Venezuela_nan,Vietnam_nan,West Bank and Gaza_nan,Yemen_nan,Zambia_nan,Zimbabwe_nan
25,2021-07-20,82586,130086,107041,13930,34857,1225,4420995,218529,121,0,185,1701,816,221,19899,1022,639831,331429,12112,265832,951340,4058,429257,0,13117,8081,2125,392548,188019,75782,17371065,261,397648,13350,167171,773,32525,61039,35261,1400194,6859,4777,1555294,999,1064,592,669,193,2745,273,145,181,1310,1599,1291,11686,63648,1053,392,739,936,570,425,53,75,18,627,876,2204,253,1085,395,1,0,977,387,1337,4422866,3837,11759,29205,318436,48537,352777,256757,39061,1638061,841,53,293906,699,11466,195,280645,443880,225068,75136,8591,6158,128177,19086,262550,4233,46000,9995,18902,2250,104,2964,58,32036,462,26,1399,438,340769,25005,6015,367130,3640270,95221,93764,160,293208,3725,23655,19993,12961,27,96452,743449,6639,30390687,2323666,3168834,1372158,23364,839285,4115889,46724,801181,744365,490128,183211,0,161634,105549,369737,127692,2174,135168,535485,6601,2715,184476,2994,268382,70675,7,40951,35203,798954,73340,12376,30236,4,20901,1854,2104298,1,251033,2587,137602,98711,534814,78337,89010,634927,11051,1642,12261,2609,0,0,2746,4225,5287,164733,150223,17998,263752,922034,0,404606,17153,406280,2061951,1444253,2652994,867540,222362,1046881,5318062,41951,514,5295,2197,3,5002,2336,493240,43802,0,16814,4144,62543,255300,253059,20,7277,2085119,10514,150376,262828,30647,0,20581,0,317600,21924,12348,13801,183,26873,9390,13895,0,29663,443979,5395300,69377,2246076,641750,111,2482,420,618,4640,63,4302,1623,19,4,2404,0,0,369652,115514,3,276952,11443,310601,4162,174728,58155
26,2021-07-21,82586,130097,107776,13930,34893,1225,4431871,218585,121,0,186,1701,822,221,19899,1023,640018,331537,12158,265930,961044,4058,430287,0,13165,8081,2179,395353,188137,75782,17404495,261,397831,13350,170779,773,32570,61779,35261,1400461,6859,4777,1557199,1000,1065,592,670,193,2754,273,145,181,1310,1599,1291,11688,63660,1053,392,741,936,570,425,53,75,18,627,876,2213,253,1089,395,1,4,977,389,1373,4435550,3837,11759,29332,319731,48537,352868,261874,39061,1638393,857,53,294559,699,11466,195,282841,443880,225869,75608,8591,6166,128243,19221,262588,4550,46000,9995,18902,2250,104,2964,58,32036,462,26,1399,438,341053,25050,6015,368073,3641100,95221,93764,161,293208,3744,23719,20009,12961,27,96839,744051,6644,30429339,2356553,3185946,1379074,23364,839860,4118124,46751,803525,745005,492685,183980,0,163073,105557,371125,128905,2174,135213,535663,6616,2715,184476,2995,268429,70792,7,40972,35432,806856,73531,12626,30266,4,21010,1854,2112815,1,251125,2597,144245,98739,536626,80058,90199,636402,11051,1642,12275,2617,0,0,2747,4225,5287,164733,150243,17998,263752,922929,0,405811,17173,407622,2063637,1449579,2653025,870243,222478,1046952,5340283,43055,514,5304,2198,3,5002,2340,494264,44055,0,16814,4164,62560,255300,253132,20,7277,2098818,10514,150376,263758,30647,0,20681,0,317600,21928,12382,13846,183,26873,9440,13907,0,29841,449036,5400246,70519,2247016,643234,111,2487,588,618,4797,63,4319,1623,19,4,2404,0,0,370213,116009,3,279177,11971,310961,4162,175429,59627
27,2021-07-22,82586,130109,108537,13988,35082,1225,4447953,218676,121,0,188,1707,822,221,19901,1025,640202,331629,12158,266036,969610,4098,431489,0,13201,8125,2181,396914,188330,84189,17470332,269,397900,13350,173926,773,32617,62577,35261,1401177,6859,4777,1558669,1000,1066,592,670,193,2759,273,145,181,1310,1599,1291,11690,63662,1053,392,743,936,570,425,53,75,18,627,876,2218,253,1091,396,1,6,977,392,1373,4449027,3849,11759,29389,321048,48655,352966,270757,39061,1638500,877,58,295176,699,11466,196,287607,443880,226535,75608,8591,6201,128271,19392,262692,4729,46000,9995,18945,2250,104,2964,58,32036,462,26,1399,438,341358,25050,6080,369483,3642010,95221,93764,161,299752,3756,23719,20009,12961,27,97200,744714,6652,30468079,2392923,3204136,1386331,23364,840610,4119607,46773,806046,745551,495217,184461,0,164206,105575,372358,130742,2174,135262,535663,6621,2715,184852,2995,268474,70989,7,40990,35792,815292,73637,12868,30291,4,21085,1854,2120815,1,251242,2609,144245,98761,538370,80773,90448,637690,11054,1647,12302,2622,0,0,2749,4225,5295,164772,150251,17998,263752,923472,0,407055,17177,408973,2065100,1452813,2653088,873008,222600,1047000,5362424,43924,519,5304,2199,3,5002,2340,495650,44354,0,16889,4201,62576,255300,253200,20,7277,2109820,10514,150376,264755,30647,0,20846,0,317600,21933,12456,13902,183,26873,9484,13907,0,30043,453865,5405339,71750,2248036,644753,111,2487,588,618,5022,63,4336,1638,19,4,2404,0,0,370711,116755,3,280269,13421,310961,4162,177419,61723
28,2021-07-23,82586,130118,109349,13988,35284,1225,4464987,218796,121,0,188,1707,822,221,19902,1025,640430,331782,12158,266123,978616,4098,432655,0,13219,8125,2215,398595,188460,84189,17475091,269,398132,13350,177021,773,32617,63474,35261,1401704,6859,4780,1559891,1000,1066,592,673,193,2759,273,145,181,1310,1599,1291,11690,63662,1053,392,743,936,570,425,53,75,18,627,876,2218,253,1091,396,1,0,977,392,1373,4462579,3849,11759,29389,322423,48724,353103,276689,39061,1638606,877,59,295717,699,11466,196,292697,443880,227068,75724,8637,6249,128314,19570,262750,5521,46000,9995,18945,2250,104,2964,58,32036,462,26,1399,438,341672,25081,6080,370565,3642120,95871,93764,161,302441,3778,23733,20366,12961,27,97430,745277,6653,30468079,2431911,3220445,1394536,23364,841252,4120846,46819,808257,746015,498125,184885,0,165246,105582,373507,132138,2174,135295,535663,6621,2715,185468,2996,268521,71117,7,40999,36019,825386,73710,13119,30356,4,21168,1854,2120815,1,251347,2617,146977,98777,540474,82299,90761,639368,11058,1647,12352,2622,0,0,2749,4225,5296,164772,150263,17998,263752,923472,0,408155,17177,410297,2066827,1455137,2653172,876240,222727,1047117,5384350,44739,527,5319,2199,3,5002,2345,496810,44611,0,16889,4207,62587,255300,253281,20,7277,2133196,10514,150376,265708,30647,0,20919,0,317600,21937,12501,13964,183,26873,9529,13986,0,30256,453865,5410554,73062,2249296,646227,111,2487,588,618,5182,63,4336,1638,19,4,2404,0,0,371116,117303,3,280269,15536,311380,4163,179171,62986
29,2021-07-24,82586,130125,109951,13988,35423,1229,4480336,218958,121,0,188,1715,822,221,19904,1030,640685,331907,12158,266213,988339,4098,433782,0,13219,8125,2222,399649,188460,84189,17656625,269,398145,13355,181249,773,32699,64548,35261,1401834,6859,4782,1561758,1000,1066,592,674,193,2771,273,145,181,1310,1599,1291,11696,63662,1053,395,743,936,570,425,53,75,18,628,876,2219,253,1095,398,1,5,977,404,1373,4477155,3849,11759,29389,322423,48778,353238,282267,39061,1638611,888,59,296282,699,11466,196,297813,443880,227490,75724,8637,6282,128396,19769,262848,5686,46000,9995,18945,2250,104,2964,58,32036,462,26,1399,438,341848,25081,6205,371434,3643350,96115,93764,161,305003,3801,23809,20503,12961,27,97430,745277,6655,30543138,2471678,3239172,1402537,23364,841667,4122208,46819,810728,746406,498125,185762,0,166375,105590,374986,133444,2174,135326,536111,6621,2715,185468,2997,268620,71117,7,41014,36161,834857,73795,13524,30448,4,21256,1854,2140327,1,251437,2617,149533,98806,542078,82616,92030,641565,11063,1647,12405,2624,0,0,2778,4225,5296,164788,150273,17998,263752,925958,0,409216,17222,411592,2068499,1461749,2653221,880368,222839,1047199,5405818,44739,527,5319,2199,3,5002,2348,497965,44896,0,16889,4218,62595,255300,253362,20,7286,2147168,10514,150376,266665,30647,0,21022,0,317600,21942,12543,14022,183,26873,9586,14026,0,30440,457597,5415937,74418,2250174,647682,111,2488,1255,620,5182,63,4371,1686,19,4,2417,0,0,371463,117962,3,282201,17583,311380,4166,180535,64628
30,2021-07-25,82586,130139,110577,13988,35474,1229,4493984,219062,121,0,188,1715,822,221,19904,1030,640951,332056,12158,266321,998923,4098,434882,0,13219,8125,2239,400682,188460,84189,17702038,269,398151,13355,185402,773,32739,65264,35261,1402035,6859,4782,1563280,1002,1066,592,678,193,2779,273,145,181,1310,1599,1291,11698,63663,1053,395,744,936,570,425,53,75,18,628,876,2221,253,1098,398,1,4,977,411,1373,4487973,3862,11759,29497,322423,48833,353367,288414,39061,1638881,888,61,296932,699,11472,196,302952,443880,227612,75724,8637,6282,128396,19962,262862,5928,46000,9995,18945,2250,104,2964,58,32036,462,26,1399,438,341877,25081,6205,373088,3644560,96255,93764,161,307142,3811,23843,20582,12961,27,97430,745277,6658,30579106,2509318,3256856,1411029,23364,842888,4123209,46843,813868,746960,503416,185808,0,167365,105591,376098,135132,2174,135362,536111,6621,2715,186355,2997,268627,71117,7,41027,36419,844540,73873,13924,30557,4,21390,1854,2148642,1,251489,2627,154172,98825,543603,82767,92879,643615,11065,1647,12466,2624,0,0,2783,4225,5300,164789,150279,17998,275760,927599,0,409995,17222,412875,2070180,1467269,2653279,881570,222976,1047246,5424361,44739,527,5322,2199,3,5002,2348,499129,45170,0,16889,4229,62605,255300,253385,20,7286,2158183,10514,150376,267602,30647,0,21149,0,317600,21948,12555,14096,183,26873,9627,14069,0,30602,460361,5421148,75790,2250468,649173,111,2488,1255,620,5188,63,4374,1686,19,4,2418,0,0,371822,118638,3,283215,19342,311526,4166,181638,65913
31,2021-07-26,82586,130152,111322,14077,35686,1229,4508137,219168,121,0,189,1715,826,221,19906,1030,641222,332136,12298,266417,1009975,4136,435374,0,13255,8125,2250,400682,188835,87517,17704701,270,398224,13355,189729,773,32808,65950,35261,1402588,6859,4782,1564777,1002,1066,592,681,193,2788,273,145,181,1310,1599,1291,11701,63663,1053,395,744,936,570,426,53,75,18,628,876,2223,253,1098,398,1,4,977,413,1373,4505112,3864,11759,29497,322423,48901,353477,296341,39061,1639161,888,61,297851,699,11475,196,305025,443880,227970,75724,8637,6301,128414,20157,262925,6191,46000,9995,18989,2250,104,2964,58,32036,462,26,1399,438,342182,25113,6205,374753,3645870,96759,93764,161,308908,3811,23946,20665,12961,27,97711,745848,6665,30621469,2549692,3274346,1420995,23364,843765,4124323,46868,816719,747719,506116,186594,0,167365,105597,377434,136700,2174,135380,536397,6621,2715,187221,3000,268645,71490,7,41039,36672,853911,74020,13928,30683,4,21536,1854,2160130,1,251553,2646,154172,98838,546426,84993,93136,645301,11071,1647,12523,2634,0,0,2785,4225,5300,164798,150295,17998,276483,928722,0,410678,17222,414125,2070810,1473009,2653359,883372,223114,1047291,5440451,44754,531,5343,2199,3,5005,2348,500428,45479,0,17324,4229,62617,255300,253396,20,7290,2169452,10514,150376,269007,30647,0,21191,0,317600,21955,12603,14167,183,26873,9672,14102,0,30726,471196,5426733,77171,2250748,650683,111,2488,1255,620,5489,63,4393,1686,19,4,2418,0,0,372181,119449,3,284435,21344,311526,4166,182665,67827
32,2021-07-27,82586,130166,112050,14113,35742,1229,4519922,219280,121,0,190,1717,827,221,19907,1030,641541,332259,12298,266497,1022414,4146,435842,0,13255,8125,2275,403396,189063,87517,17715481,270,398335,13359,194410,773,32835,66725,35261,1402964,6859,4782,1566138,1002,1066,593,684,193,2793,273,145,181,1310,1599,1292,11705,63663,1053,395,744,936,570,426,53,75,18,628,876,2224,253,1103,398,1,6,977,414,1373,4526917,3864,11759,29497,325139,48966,353623,304153,39061,1639429,913,61,298953,699,11477,196,308553,443880,228624,75957,8637,6348,128541,20304,262968,6319,46000,9995,18989,2250,104,2964,58,33894,462,26,1399,438,342647,25113,6205,376088,3647240,96759,93764,161,311828,3830,23966,20773,12961,27,98410,746219,6668,30663147,2596820,3291979,1429542,23364,844619,4126741,46892,819982,748312,509015,187563,0,170494,105613,378810,138316,2174,135431,536559,6621,2715,187960,3002,268769,71497,7,41066,36878,865437,74110,13930,30857,4,21668,1854,2171095,1,251645,2652,158505,98869,549116,86079,93508,647079,11099,1661,12610,2638,0,0,2795,4225,5300,164837,150307,17998,277010,935742,0,411945,17257,415391,2072564,1478625,2653407,888423,223210,1047388,5459932,44769,531,5343,2202,3,5005,2348,501449,45768,0,17324,4238,62637,255300,253480,20,7388,2180494,10514,150376,270356,30647,0,21285,0,317600,21961,12664,14245,183,26873,9707,14191,0,30934,479032,5433841,78415,2251898,652180,111,2488,1255,623,5831,63,4403,1686,19,4,2425,0,0,372448,120320,3,285776,22946,311560,4168,183534,70496
33,2021-07-28,82586,130174,112900,14113,35964,1229,4529259,219379,121,0,190,1717,827,221,19914,1032,641880,332393,12501,266571,1035884,4158,436903,0,13311,8136,2331,404509,189259,87517,17742532,270,398388,13361,197994,773,32879,67692,35261,1403323,6859,4789,1567236,1002,1067,593,687,193,2798,273,145,181,1310,1599,1292,11707,63663,1053,395,744,936,570,426,53,76,18,628,876,2228,253,1103,398,1,7,977,423,1373,4545346,3864,11759,29497,326649,49040,353748,312169,39061,1639698,918,71,300154,699,11480,200,312204,443880,228836,76056,8637,6378,128613,20362,263066,6706,46000,9995,19047,2250,104,2964,58,33894,462,26,1399,438,341160,25143,6600,377597,3653990,97213,93764,161,314439,3854,24024,20773,12961,27,99072,746981,6668,30701612,2640676,3310163,1437759,23364,845805,4128568,46911,823745,749025,517244,187824,0,171559,105616,380175,140039,2503,135463,536623,6649,2715,188973,3003,268834,71631,7,41091,37196,877810,74335,13934,30982,4,21780,1854,2181291,1,251741,2674,160662,98893,550882,86423,93931,649072,11110,1661,12659,2644,0,0,2795,4225,5304,164886,150321,17998,277632,937354,0,412994,17261,416666,2074252,1484714,2653446,891687,223376,1047444,5480150,44791,537,5354,2210,3,5005,2353,502528,46038,0,17324,4241,62663,255300,253563,20,7430,2180494,10514,150376,271855,30647,0,21458,0,317600,21969,12686,14313,183,26873,9773,14272,0,31106,491854,5438038,79804,2252718,653675,111,2495,1255,623,6033,63,4470,2225,19,4,2426,0,0,372721,121145,3,286795,27457,311622,4168,183957,71383
34,2021-07-29,82586,130187,113707,14180,36025,1235,4542904,219502,121,0,190,1720,829,221,19922,1033,642229,332574,12549,266635,1050220,4167,438050,0,13349,8136,2353,405853,189348,95323,17771228,270,398436,13363,202235,773,32935,68386,35261,1403628,6859,4789,1568294,1002,1067,593,690,193,2801,273,145,181,1310,1599,1293,11709,63663,1055,395,744,936,570,426,54,76,18,630,876,2231,253,1104,398,1,7,977,427,1373,4557829,3864,11759,29497,327249,49117,353901,320242,39061,1639849,918,78,301343,699,11483,200,317127,443880,229167,76056,8637,6416,128698,20476,263392,6951,46000,9995,19206,2250,104,2964,58,33894,462,26,1399,438,341577,25143,6600,379685,3649670,97213,93764,161,316931,3872,24071,20974,12961,27,99879,747512,6680,30743972,2686170,3329065,1447160,23364,846964,4130393,46938,827216,749676,522304,188222,0,172757,105633,381575,141499,2691,135463,536805,6649,2715,189964,3005,268947,71744,7,41109,37491,890740,74429,13939,31211,4,21985,1854,2192477,1,251850,2685,160662,98917,552983,87256,94412,650445,11125,1661,12715,2648,0,0,2799,4225,5330,164930,150333,17998,278195,938843,0,414118,17274,417876,2075361,1488437,2653529,894555,223494,1047528,5500409,44814,537,5354,2210,3,5005,2353,502528,46421,0,17538,4258,62679,255300,253619,20,7498,2194762,10514,150376,273496,30647,0,21527,0,317600,21974,12801,14389,183,26873,9802,14338,0,31341,499664,5443501,81014,2253803,655183,111,2495,1914,628,6277,63,4471,2225,19,4,2431,0,0,373007,121718,3,287720,31780,311714,4171,185210,73394
35,2021-07-30,82586,130205,114531,14210,36708,1235,4557037,219701,121,0,191,1720,829,221,19944,1033,642597,332752,12570,266705,1064195,4198,439162,0,13420,8136,2371,405853,189369,95323,17771228,278,398536,13369,205677,773,32976,69198,35261,1403960,6859,4792,1568981,1002,1067,593,693,193,2802,273,145,181,1310,1599,1293,11712,63663,1064,398,744,936,570,426,54,76,18,631,876,2233,253,1105,399,1,0,977,431,1373,4567701,3864,12421,29497,329639,49187,354055,329811,39061,1640008,927,78,302377,699,11488,200,320755,443880,229712,76265,8637,6419,128787,20703,263425,7195,46000,9995,19206,2250,104,2964,58,33894,462,26,1399,438,342009,25166,6600,381246,3652400,97213,93764,161,319323,3897,24111,21166,12961,27,100697,748157,6699,30781263,2730720,3348363,1455659,23364,848364,4132510,46966,830931,750141,527894,188438,0,174177,105641,382826,142984,2774,135463,536963,6649,2715,190978,3009,269054,71867,7,41127,37693,902919,74481,13941,31410,4,22113,1854,2204109,1,251967,2700,162788,98940,557408,88081,94556,652261,11141,1661,12795,2655,0,0,2799,4225,5338,164978,150350,17998,278195,940164,0,415265,17274,419028,2075361,1491182,2653608,897886,223591,1047682,5520398,44823,542,5368,2229,3,5005,2358,502528,46754,0,17538,4260,62733,255300,253681,20,7498,2207960,10514,150376,275212,30647,0,21610,0,317600,21980,12817,14470,183,26873,9848,14385,0,31565,505497,5449253,81992,2254803,656680,111,2495,1914,628,6558,63,4471,2225,19,4,2431,0,0,373290,122368,3,288864,35484,311772,4171,186211,74562
36,2021-07-31,82586,130222,115276,14210,37255,1235,4569552,219864,121,0,191,1725,830,221,19967,1038,643027,332926,12606,266796,1078212,4229,440200,0,13420,8136,2374,407932,189369,95323,17771228,280,398545,13369,209512,773,33011,69996,35261,1404107,6859,4792,1570492,1002,1067,593,695,193,2807,273,145,181,1310,1599,1294,11713,63664,1064,398,744,936,570,426,54,76,18,632,876,2242,253,1107,400,1,0,977,432,1377,4578519,3865,12421,29994,329639,49261,354238,338968,39061,1640314,943,78,303182,699,11490,200,323333,443880,230368,76265,8637,6444,128898,20918,263500,7705,46000,9995,19206,2250,104,2964,58,33894,462,26,1399,438,342374,25166,6600,382393,3653150,97213,93764,161,321832,3929,24148,21183,12961,27,100697,748157,6716,30820521,2770092,3367272,1464273,23364,849013,4134680,46979,834811,750518,527894,188936,0,175674,105657,384062,144564,2804,135583,537111,6649,2715,190978,3009,269309,71867,7,41143,38005,914637,74598,13945,31629,4,22228,1854,2215884,1,252051,2707,164829,98971,561930,88380,95250,654177,11160,1661,12853,2655,0,0,2811,4225,5342,164994,150362,17998,278195,941659,0,416263,17324,420031,2078316,1500189,2653700,902014,223732,1047723,5539787,44837,544,5377,2229,3,5005,2358,506089,47136,0,17538,4270,62863,255300,253742,20,7533,2222338,10514,150376,277118,30647,0,21700,0,317600,21987,12856,14556,183,26873,9889,14450,0,31783,510696,5454360,83115,2255695,658198,111,2495,1914,631,6564,63,4471,2225,19,4,2431,0,0,373481,123164,3,290181,38734,311832,4185,187236,75856
37,2021-08-01,82586,130243,116009,14210,37397,1235,4581132,219986,121,0,191,1727,830,221,19996,1038,643387,333128,12606,266921,1093266,4229,441369,0,13420,8136,2384,408577,189369,95323,17771228,280,398554,13369,213227,773,33036,70754,35261,1404244,6859,4793,1571788,1002,1067,593,699,193,2809,273,145,182,1310,1599,1294,11715,63665,1064,398,744,936,570,426,54,76,18,632,876,2246,253,1108,400,1,0,977,448,1377,4587754,3869,12421,29994,329639,49389,354393,348487,39061,1640599,949,78,303958,699,11490,209,323700,443880,230699,76265,8637,6444,128902,21047,263587,7942,46000,9995,19206,2250,104,2964,58,33894,462,26,1399,438,342482,25166,6600,384712,3654720,97213,93764,161,324332,3968,24242,21183,12961,27,100697,748157,6795,30857467,2809538,3385195,1472093,23364,850839,4135930,47001,839090,751177,537722,189131,0,176605,105660,385401,146061,3030,135583,537111,6664,2715,192184,3009,269323,71867,7,41151,38147,925963,74758,13948,31843,4,22406,1854,2226594,1,252104,2715,164829,99011,566008,90845,95913,656197,11176,1673,12926,2655,0,0,2814,4225,5345,165005,150371,17998,279892,943020,0,417137,17324,421051,2080424,1506027,2653807,903514,223849,1047767,5556831,44856,546,5377,2229,3,5005,2358,507374,47579,0,17538,4270,62957,255300,253763,20,7567,2230871,10514,150376,278910,30647,0,21770,0,317600,21995,12879,14556,183,26873,9911,14493,0,31941,516831,5459899,84052,2256053,659664,111,2499,1914,631,6570,63,4614,2225,19,4,2433,0,0,373636,123995,3,291556,43157,311918,4200,188106,76665
38,2021-08-02,82586,130256,116770,14296,38360,1235,4594873,220133,121,0,191,1727,831,221,20011,1039,643694,333267,12606,267026,1108748,4251,441961,0,13420,8136,2399,409768,189677,96964,17771228,280,398617,13385,217142,773,33068,71517,35261,1404327,6859,4793,1573007,1002,1067,593,700,193,2811,273,145,182,1310,1599,1294,11715,63665,1064,398,744,936,570,426,54,76,18,633,876,2250,253,1111,400,1,0,977,459,1377,4598176,3869,12421,29994,329639,49461,354393,356698,39061,1640812,955,78,304669,699,11491,209,324227,443880,231259,76670,8696,6456,128917,21313,263694,8531,46000,9995,19285,2250,104,2964,58,33894,462,26,1399,438,342482,25191,6600,386998,3654950,98229,93764,161,326004,3968,24327,21183,12961,27,100697,749185,6848,30896354,2842345,3404533,1480827,23364,852007,4137428,47001,842624,751177,543986,189692,0,177909,105665,386690,147377,3180,135640,537451,6664,2715,193144,3010,269361,72211,7,41164,38427,937730,74928,13958,32011,4,22572,1854,2241868,1,252166,2729,158685,99040,569452,95815,96219,658122,11207,1673,12961,2655,0,0,2821,4225,5345,165037,150399,17998,280423,944375,0,417710,17384,422050,2081755,1515054,2653900,904962,223995,1047778,5571532,44875,546,5379,2230,3,5009,2358,507374,47992,0,17874,4277,63033,255300,253772,20,7593,2238388,10514,150376,280868,30647,0,21829,0,317600,22002,12884,14705,183,26873,9941,14524,0,32129,521335,5465846,84959,2256421,661156,111,2499,1914,635,6570,63,4635,3750,19,4,2433,0,0,373839,124728,3,292567,43157,312149,4212,188950,79420
39,2021-08-03,82586,130291,117557,14348,39389,1235,4606026,220289,121,0,193,1727,835,221,20036,1039,644038,333492,12619,267096,1125045,4251,442380,0,13514,8136,2400,410833,189697,96964,17771228,280,398669,13385,220887,773,33128,72145,35261,1405529,6859,4794,1574176,1002,1068,593,700,193,2816,273,145,182,1310,1599,1294,11719,63665,1064,398,744,936,570,426,54,76,18,633,876,2250,253,1112,400,1,0,977,463,1377,4606139,3869,12421,30043,334117,49553,354695,364236,39061,1641074,957,84,305519,699,11491,209,324480,443880,232060,76670,8696,6472,129052,21821,263885,9644,46000,9995,19416,2250,104,2964,58,35563,462,26,1399,438,341758,25191,7122,388893,3658150,98392,93764,161,328765,3995,24358,22327,12961,27,101644,749461,6899,30933022,2873669,3424650,1488186,23364,853150,4141043,47078,847717,752349,547650,190095,0,179123,105667,387832,149171,3392,135690,537653,6664,2715,194217,3011,269662,72217,7,41173,39047,950027,75065,13960,32145,4,22705,1854,2257443,1,252283,2744,158685,99105,574918,96446,96341,660116,11220,1673,13023,2678,0,0,2824,4225,5349,165122,150422,17998,280927,945829,0,418935,17384,422995,2083747,1521263,2653934,909330,224129,1047915,5590137,44887,549,5390,2230,3,5009,2361,507374,48378,0,17874,4281,63252,255300,253861,20,7633,2250708,10514,150376,282770,30647,0,21913,0,317600,22011,12929,14788,183,26873,9990,14592,0,32305,521335,5472089,85937,2257312,662660,111,2503,1914,635,8282,63,4644,3761,19,4,2433,0,0,374044,125572,3,293672,50831,312289,4232,189341,81570
